Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
moving,,,,,,,,,,,,,,,,,,
poorly,X,,X,,,,,,,,,,,,,,,
sometimes,,,,,,,,,,,,X,,,,X,,
due,,,,,,,,,,,,,,,,,,
embarrassment,X,,X,X,,,X,,,,,,,,,,,
yet,,,,,,,,,,,,,,,,,,
heal,X,X,,,,,,,,,,,,,,,,
particular,,,,,,,,,,,,,,,,,,
relates,,,,,,,X,,,,,X,X,,,,,
stressful,X,,X,X,,,,,,,,,,,,,,
unforgivable,,,,,,,,,,,,,,,,,,
i'm,,,,,,,,,,,,,,,,,,
expert,,,,,,,,,,,,,,,,,,
suspect,,,,,,,,,,,,X,X,,,,,
evolutionary,,,,,,,,,,,,,,,,,,
incentive,X,X,,,,,,,,,,,,,,,,
prevent,,,,,,,,,,,,,,,,,,
once,,,,,,,,,,,,,,,,,,
trusting,X,X,,,,,X,,,,,,,,,,,
previously,,,,,,,,,,,,,,,,,,
him,,,,,,,X,,,,X,,,,,,,
her,,,,,,,X,,,X,,,,,,,,
mistreated,,,,,,,,,,,,,,,,,,
extremely,,,,,,,,,,,,X,,,,,X,
righteousness,,,,,,,,,,,,,,,,,,
stubbornness,X,,X,,X,,,,,,,,,,,,,
sense,,,,,,,,,,,,X,X,,,,,
stay,,,,,,,,,,,,,,,,,,
lack,,,,,,,,,,,,X,,,X,,,
grace,X,X,,,,,,,,,,,,,,,,
takes,,,,,,,,,,,,,,,,,,
refuse,,,,,,,X,,,,,,,,,,,
responsibility,,,,,,,,,,,,,,,,,,
continue,,,,,,,,,,,,,,,,,,
keeping,,,,,,,,,,,,,,,,,,
promises,X,X,,,,,,,,,,X,,,,,X,
lying,X,,X,,X,,X,,,,,,,,,,,
breakups,,,,,,,,,,,,,,,,,,
injured,,,,,,,,,,,,,,,,,,
reminds,,,,,,,,,,,,,,,,,,
powerful,,,,,,,,,,,,,,,,,,
nagging,X,,X,,X,,,,,,,,,,,,,
keeps,,,,,,,,,,,,,,,,,,
present,,,,,,,,,,,,,,,,,,
personally,,,,,,,,,,,,,,,,,,
showed,,,,,,,,,,,,,,,,,,
regret,X,,X,,,X,,,,,,X,,,X,,,
upsetting,X,,X,X,,,,,,,,,,,,,,
injust,,,,,,,,,,,,,,,,,,
vulnerable,X,,X,X,,,,,,,,,,,,,,
forgiveness,X,X,,,,,X,,,,,X,X,,,,,
seems,,,,,,,,,,,,X,X,,,X,,
weakness,,,,,,,,,,,,,,,,,,
amount,,,,,,,,,,,,,,,,,,
ego,,,,,,,,,,,,,,,,,,
treats,,,,,,,,,,,,,,,,,,
without,,,,,,,,,,,,X,,,,,,X
respect,X,X,,,,,,,,,,,,,,,,
badly,X,,X,,,,,,,,,,,,,,,
necessity,,,,,,,,,,,,,,,,,,
retribution,,,,,,,,,,,,,,,,,,
pettiness,,,,,,,,,,,,,,,,,,
betrayals,,,,,,,,,,,,,,,,,,
immature,,,,,,,,,,,,,,,,,,
understand,,,,,,,,,,,,X,X,,,,,
taught,,,,,,,,,,,,,,,,,,
treating,,,,,,,,,,,,,,,,,,
cathartic,,,,,,,,,,,,,,,,,,
guess,,,,,,,,,,,,X,,,,X,,
expectation,,,,,,,,,,,,X,,,X,,,
end,,,,,,,,,,,,,,,,,,
normally,,,,,,,,,,,,X,,,X,,,
define,,,,,,,,,,,,X,X,,,,,
major,,,,,,,,,,,,,,,,,,
bitter,X,,X,,X,,,,,,,,,,,,,
consider,,,,,,,,,,,,X,X,,,,,
depending,,,,,,,,,,,,X,,X,,X,,
family,,,,,,,X,X,,,,,,,,,,
living,,,,,,,,,,,,,,,,,,
upto,,,,,,,,,,,,,,,,,,
